order_id,category,state
C126767,small_headgear,deleted
C165687,small_chinstrap,active
C439738,medium_mask,active
C967824,big_mask,deleted
C921807,small_disposable,active
C300581,big_tubing,deleted
C424294,big_chinstrap,active
C963278,medium_headgear,active
C732380,small_pillows,active
C628944,big_headgear,active
C696253,big_disposable,deleted
C069987,big_pillows,deleted
C145137,medium_pillows,deleted
C035962,small_tubing,active
C032306,small_mask,active
C494738,medium_chinstrap,active
C289566,medium_tubing,active
